4 fffffa8002bdf320		 (R--)  (File)	 \Windows\System32\config\TxR\{016888cc-6c6f-11de-8d1d-001e0bcde3ec}.TxR.1.regtrans-ms 
4 fffffa8002aabc90		 (R--)  (File)	 \Windows\System32\config\TxR\{016888cc-6c6f-11de-8d1d-001e0bcde3ec}.TxR.2.regtrans-ms 
4 fffffa8002939ca0		 (R--)  (File)	 \Windows\System32\config\TxR\{016888cc-6c6f-11de-8d1d-001e0bcde3ec}.TxR.3.regtrans-ms 
4 fffffa8002be4760		 (---)  (File)	 \SystemRoot\System32\Config\TxR\{016888cc-6c6f-11de-8d1d-001e0bcde3ec}.TxR 
4 fffffa80028b06e0		 (---)  (File)	 \Boot\BCD 
4 fffffa80024a3d70		 (---)  (File)	 \hiberfil.sys 
4 fffffa8004527c20		 (---)  (File)	   
4 fffffa8002ace6b0		 (---)  (File)	 \Boot\BCD.LOG 
4 fffffa80018f57a0		 (---)  (File)	   
4 fffffa80045348d0		 (---)  (File)	   
4 fffffa80018e7f20		 (---)  (File)	   
4 fffffa80018c4be0		 (---)  (File)	   
4 fffffa80045689f0		 (---)  (File)	   
4 fffffa80018d2f20		 (---)  (File)	   
4 fffffa8004589890		 (-W-)  (File)	 \pagefile.sys 
4 fffffa80018ee050		 (---)  (File)	   
4 fffffa80018cb830		 (---)  (File)	   
4 fffffa800190a050		 (---)  (File)	   
4 fffffa80018bd520		 (---)  (File)	   
4 fffffa80018bd270		 (---)  (File)	   
4 fffffa80018d9280		 (---)  (File)	   
4 fffffa80018d2970		 (---)  (File)	   
4 fffffa80018d99b0		 (---)  (File)	   
4 fffffa80018ee490		 (---)  (File)	   
4 fffffa80018c4300		 (---)  (File)	   
4 fffffa80045eb990		 (---)  (File)	   
4 fffffa80018cb480		 (---)  (File)	   
4 fffffa80018b7e20		 (---)  (File)	   
4 fffffa80043131c0		 (---)  (File)	   
4 fffffa80029a8af0		 (---)  (File)	   
4 fffffa80045eee50		 (---)  (File)	   
4 fffffa80045eae50		 (---)  (File)	   
4 fffffa80045eff20		 (---)  (File)	   
4 fffffa80045f0f20		 (---)  (File)	   
4 fffffa80045f0890		 (---)  (File)	   
4 fffffa80045f1920		 (---)  (File)	   
4 fffffa80045f29c0		 (---)  (File)	   
4 fffffa80045f3a50		 (---)  (File)	   
4 fffffa80045f4af0		 (---)  (File)	   
4 fffffa80045f5bb0		 (---)  (File)	   
4 fffffa80045f6c50		 (---)  (File)	   
4 fffffa80045f7ce0		 (---)  (File)	   
4 fffffa80045f8d80		 (---)  (File)	   
4 fffffa80045f9d80		 (---)  (File)	   
4 fffffa80045fae50		 (---)  (File)	   
4 fffffa80045fbe50		 (---)  (File)	   
4 fffffa80045fcf20		 (---)  (File)	   
4 fffffa80045fdf20		 (---)  (File)	   
4 fffffa80045fd890		 (---)  (File)	   
4 fffffa80045fe920		 (---)  (File)	   
4 fffffa80045ff9c0		 (---)  (File)	   
4 fffffa8004600a50		 (---)  (File)	   
4 fffffa8004601af0		 (---)  (File)	   
4 fffffa8004602bb0		 (---)  (File)	   
4 fffffa8004603c50		 (---)  (File)	   
4 fffffa8004604ce0		 (---)  (File)	   
4 fffffa8004605d80		 (---)  (File)	   
4 fffffa8004606d80		 (---)  (File)	   
4 fffffa8004607e50		 (---)  (File)	   
4 fffffa8004608e50		 (---)  (File)	   
4 fffffa8004609f20		 (---)  (File)	   
4 fffffa800460af20		 (---)  (File)	   
4 fffffa800460a890		 (---)  (File)	   
4 fffffa800460b920		 (---)  (File)	   
4 fffffa8004644930		 (R-D)  (File)	 \Windows\System32\en-US\win32k.sys.mui 
4 fffff8a00000c170		 (---)  (Section)	   
4 fffffa8004b06960		 (---)  (File)	   
4 fffffa8004b06f20		 (---)  (File)	   
4 fffffa8004b07750		 (---)  (File)	   
4 fffffa8004b07d10		 (---)  (File)	   
4 fffffa8004b00050		 (---)  (File)	   
4 fffffa8004b06050		 (---)  (File)	   
4 fffffa8004b05050		 (---)  (File)	   
4 fffffa8004b05260		 (---)  (File)	   
4 fffffa8004b07e50		 (---)  (File)	   
4 fffffa8004b04050		 (---)  (File)	   
4 fffffa8004b04760		 (---)  (File)	   
4 fffffa8004b0cf20		 (---)  (File)	   
4 fffffa8004b0c770		 (---)  (File)	   
4 fffffa8004afdf20		 (---)  (File)	   
4 fffffa8004afd710		 (---)  (File)	   
4 fffffa8004afd220		 (---)  (File)	   
4 fffffa8004b08d20		 (---)  (File)	   
4 fffffa8004b085f0		 (---)  (File)	   
4 fffffa8004b09bb0		 (---)  (File)	   
4 fffffa8004b093a0		 (---)  (File)	   
4 fffffa8004b0ab30		 (---)  (File)	   
4 fffffa8004b0a5c0		 (---)  (File)	   
4 fffffa8004b0dd80		 (---)  (File)	   
4 fffffa8004b0d650		 (---)  (File)	   
4 fffffa8004b0ef20		 (---)  (File)	   
4 fffffa8004b0e7f0		 (---)  (File)	   
4 fffffa8004b0f050		 (---)  (File)	   
4 fffffa8004b0f9c0		 (---)  (File)	   
4 fffffa8004b0f290		 (---)  (File)	   
4 fffffa8004b10c50		 (---)  (File)	   
4 fffffa8004b10520		 (---)  (File)	   
232 fffffa8002910210		 (RW-)  (File)	 \Windows 
232 fffffa800291f4e0		 (---)  (File)	 \ProtectedPrefix 
232 fffffa800291f390		 (---)  (File)	 \ProtectedPrefix 
232 fffffa8002912420		 (---)  (File)	 \ProtectedPrefix\Administrators 
232 fffffa80029122d0		 (---)  (File)	 \ProtectedPrefix\Administrators 
232 fffffa800291a700		 (---)  (File)	 \ProtectedPrefix\LocalService 
232 fffffa800291a5b0		 (---)  (File)	 \ProtectedPrefix\LocalService 
232 fffffa8002912de0		 (---)  (File)	 \ProtectedPrefix\NetWorkService 
232 fffffa8002912c90		 (---)  (File)	 \ProtectedPrefix\NetWorkService 
232 fffff8a000266da0		 (---)  (Section)	   
320 fffffa80045d8ac0		 (RW-)  (File)	 \Windows\System32 
320 fffff8a009b31cb0		 (---)  (Section)	   
320 fffffa80045e1a10		 (R-D)  (File)	 \Windows\System32\en-US\csrss.exe.mui 
320 fffffa80045e5a60		 (R-D)  (File)	 \Windows\System32\en-US\winsrv.dll.mui 
320 fffff8a009bb6aa0		 (---)  (Section)	   
320 fffffa800481d7e0		 (---)  (File)	   
320 fffff8a000b22c80		 (---)  (Section)	   
320 fffff8a009bb57c0		 (---)  (Section)	   
320 fffff8a000b250f0		 (---)  (Section)	   
320 fffff8a000bbdc00		 (---)  (Section)	   
320 fffff8a0020c9590		 (---)  (Section)	   
320 fffff8a001e45060		 (---)  (Section)	   
320 fffff8a002236b40		 (---)  (Section)	   
320 fffff8a002388bb0		 (---)  (Section)	   
320 fffff8a000e07b10		 (---)  (Section)	   
320 fffff8a000deea20		 (---)  (Section)	   
320 fffff8a001468ec0		 (---)  (Section)	   
320 fffff8a0011c1990		 (---)  (Section)	   
320 fffff8a0012356c0		 (---)  (Section)	   
320 fffff8a000c1c7e0		 (---)  (Section)	   
360 fffffa8004542f20		 (RW-)  (File)	 \Windows\System32 
360 fffffa80046b6d60		 (R-D)  (File)	 \Windows\System32\en-US\user32.dll.mui 
360 fffffa80046c5db0		 (---)  (File)	 \InitShutdown 
360 fffffa80046c5b10		 (---)  (File)	 \InitShutdown 
360 fffffa80046c59c0		 (---)  (File)	 \InitShutdown 
360 fffffa8004ad4340		 (---)  (File)	   
372 fffffa8004664a90		 (RW-)  (File)	 \Windows\System32 
372 fffff8a009bb6f30		 (---)  (Section)	   
372 fffff8a001843750		 (---)  (Section)	   
372 fffff8a00bdc2ae0		 (---)  (Section)	   
372 fffffa8004a6fe60		 (---)  (File)	   
372 fffffa8004a6fd10		 (---)  (File)	   
372 fffffa80046c3c90		 (---)  (File)	   
372 fffffa8004a70790		 (---)  (File)	   
372 fffff8a00172a9b0		 (---)  (Section)	   
372 fffff8a00000cba0		 (---)  (Section)	   
372 fffffa8004b82390		 (---)  (File)	   
