PID,Name,Path
1096,WINSTA.dll,C:\WINDOWS\System32\WINSTA.dll
1096,NETAPI32.dll,C:\WINDOWS\System32\NETAPI32.dll
1096,rsaenh.dll,C:\WINDOWS\System32\rsaenh.dll
1096,dhcpcsvc.dll,c:\windows\system32\dhcpcsvc.dll
1096,DNSAPI.dll,c:\windows\system32\DNSAPI.dll
1096,WS2_32.dll,c:\windows\system32\WS2_32.dll
1096,WS2HELP.dll,c:\windows\system32\WS2HELP.dll
1096,iphlpapi.dll,c:\windows\system32\iphlpapi.dll
1096,mswsock.dll,C:\WINDOWS\system32\mswsock.dll
1096,hnetcfg.dll,C:\WINDOWS\System32\hnetcfg.dll
1096,wshtcpip.dll,C:\WINDOWS\System32\wshtcpip.dll
1096,wzcsvc.dll,c:\windows\system32\wzcsvc.dll
1096,rtutils.dll,c:\windows\system32\rtutils.dll
1096,WMI.dll,c:\windows\system32\WMI.dll
1096,CRYPT32.dll,c:\windows\system32\CRYPT32.dll
1096,MSASN1.dll,c:\windows\system32\MSASN1.dll
1096,EapolQec.dll,c:\windows\system32\EapolQec.dll
1096,ATL.DLL,c:\windows\system32\ATL.DLL
1096,QUtil.dll,c:\windows\system32\QUtil.dll
1096,MSVCP60.dll,c:\windows\system32\MSVCP60.dll
1096,dot3api.dll,c:\windows\system32\dot3api.dll
1096,WTSAPI32.dll,c:\windows\system32\WTSAPI32.dll
1096,ESENT.dll,c:\windows\system32\ESENT.dll
1096,CLBCATQ.DLL,C:\WINDOWS\System32\CLBCATQ.DLL
1096,COMRes.dll,C:\WINDOWS\System32\COMRes.dll
1096,rastls.dll,C:\WINDOWS\System32\rastls.dll
1096,CRYPTUI.dll,C:\WINDOWS\System32\CRYPTUI.dll
1096,WININET.dll,C:\WINDOWS\system32\WININET.dll
1096,Normaliz.dll,C:\WINDOWS\system32\Normaliz.dll
1096,urlmon.dll,C:\WINDOWS\system32\urlmon.dll
1096,iertutil.dll,C:\WINDOWS\system32\iertutil.dll
1096,WINTRUST.dll,C:\WINDOWS\System32\WINTRUST.dll
1096,IMAGEHLP.dll,C:\WINDOWS\system32\IMAGEHLP.dll
1096,MPRAPI.dll,C:\WINDOWS\System32\MPRAPI.dll
1096,ACTIVEDS.dll,C:\WINDOWS\System32\ACTIVEDS.dll
1096,adsldpc.dll,C:\WINDOWS\System32\adsldpc.dll
1096,SETUPAPI.dll,C:\WINDOWS\System32\SETUPAPI.dll
1096,RASAPI32.dll,C:\WINDOWS\System32\RASAPI32.dll
1096,rasman.dll,C:\WINDOWS\System32\rasman.dll
1096,TAPI32.dll,C:\WINDOWS\System32\TAPI32.dll
1096,SCHANNEL.dll,C:\WINDOWS\System32\SCHANNEL.dll
1096,WinSCard.dll,C:\WINDOWS\System32\WinSCard.dll
1096,PSAPI.DLL,C:\WINDOWS\System32\PSAPI.DLL
1096,raschap.dll,C:\WINDOWS\System32\raschap.dll
1096,msv1_0.dll,C:\WINDOWS\system32\msv1_0.dll
1096,cryptdll.dll,C:\WINDOWS\System32\cryptdll.dll
1512,Explorer.EXE,C:\WINDOWS\Explorer.EXE
1512,kernel32.dll,C:\WINDOWS\system32\kernel32.dll
1512,ADVAPI32.dll,C:\WINDOWS\system32\ADVAPI32.dll
1512,RPCRT4.dll,C:\WINDOWS\system32\RPCRT4.dll
1512,Secur32.dll,C:\WINDOWS\system32\Secur32.dll
1512,BROWSEUI.dll,C:\WINDOWS\system32\BROWSEUI.dll
1512,GDI32.dll,C:\WINDOWS\system32\GDI32.dll
1512,USER32.dll,C:\WINDOWS\system32\USER32.dll
1512,msvcrt.dll,C:\WINDOWS\system32\msvcrt.dll
1512,ole32.dll,C:\WINDOWS\system32\ole32.dll
1512,SHLWAPI.dll,C:\WINDOWS\system32\SHLWAPI.dll
1512,OLEAUT32.dll,C:\WINDOWS\system32\OLEAUT32.dll
1512,SHDOCVW.dll,C:\WINDOWS\system32\SHDOCVW.dll
1512,CRYPT32.dll,C:\WINDOWS\system32\CRYPT32.dll
1512,MSASN1.dll,C:\WINDOWS\system32\MSASN1.dll
1512,CRYPTUI.dll,C:\WINDOWS\system32\CRYPTUI.dll
1512,NETAPI32.dll,C:\WINDOWS\system32\NETAPI32.dll
1512,VERSION.dll,C:\WINDOWS\system32\VERSION.dll
1512,WININET.dll,C:\WINDOWS\system32\WININET.dll
1512,Normaliz.dll,C:\WINDOWS\system32\Normaliz.dll
1512,urlmon.dll,C:\WINDOWS\system32\urlmon.dll
1512,iertutil.dll,C:\WINDOWS\system32\iertutil.dll
1512,WINTRUST.dll,C:\WINDOWS\system32\WINTRUST.dll
1512,IMAGEHLP.dll,C:\WINDOWS\system32\IMAGEHLP.dll
1512,WLDAP32.dll,C:\WINDOWS\system32\WLDAP32.dll
1512,SHELL32.dll,C:\WINDOWS\system32\SHELL32.dll
1512,UxTheme.dll,C:\WINDOWS\system32\UxTheme.dll
1512,ShimEng.dll,C:\WINDOWS\system32\ShimEng.dll
1512,AcGenral.DLL,C:\WINDOWS\AppPatch\AcGenral.DLL
1512,WINMM.dll,C:\WINDOWS\system32\WINMM.dll
1512,MSACM32.dll,C:\WINDOWS\system32\MSACM32.dll
1512,USERENV.dll,C:\WINDOWS\system32\USERENV.dll
1512,IMM32.DLL,C:\WINDOWS\system32\IMM32.DLL
1512,comctl32.dll,C:\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202\comctl32.dll
1512,comctl32.dll,C:\WINDOWS\system32\comctl32.dll
1512,msctfime.ime,C:\WINDOWS\system32\msctfime.ime
1512,appHelp.dll,C:\WINDOWS\system32\appHelp.dll
1512,CLBCATQ.DLL,C:\WINDOWS\system32\CLBCATQ.DLL
1512,COMRes.dll,C:\WINDOWS\system32\COMRes.dll
1512,cscui.dll,C:\WINDOWS\System32\cscui.dll
1512,CSCDLL.dll,C:\WINDOWS\System32\CSCDLL.dll
1512,themeui.dll,C:\WINDOWS\system32\themeui.dll
1512,MSIMG32.dll,C:\WINDOWS\system32\MSIMG32.dll
1512,xpsp2res.dll,C:\WINDOWS\system32\xpsp2res.dll
1512,actxprxy.dll,C:\WINDOWS\system32\actxprxy.dll
1512,msutb.dll,C:\WINDOWS\system32\msutb.dll
1512,MSCTF.dll,C:\WINDOWS\system32\MSCTF.dll
